Name,Volume,Title,Discipline,Status,Requirement Prefix,Approx Words,Source File,Summary
Vol 00 — Executive Vision,0,Executive Vision,Product/Strategy,Draft v1.0,FR-0 / NFR-0,5339,docs/prd/vol-00-executive-vision.md,"The problem, thesis, principles operationalized, and glossary — the day-one read for a new hire."
Vol 01 — Business Strategy,1,Business Strategy,Strategy,Draft v1.0,BR-1,4628,docs/prd/vol-01-business-strategy.md,"Public-benefit sustainability model, Florida go-to-market, partnerships, funding, and the business north star."
Vol 02 — Market Research,2,Market Research,Research,Draft v1.0,MR-2,3973,docs/prd/vol-02-market-research.md,"Market sizing, competitive/adjacent landscape, regulatory landscape, and unmet needs — figures flagged as directional."
Vol 03 — User Personas,3,User Personas,Design/Research,Draft v1.0,PER-3,6502,docs/prd/vol-03-user-personas.md,"Eleven personas with accessibility profiles and a persona-to-feature matrix, including victims and caregivers."
Vol 04 — User Journeys,4,User Journeys,Design/Research,Draft v1.0,UJ-4,6522,docs/prd/vol-04-user-journeys.md,"Eight end-to-end journeys with happy and degraded paths, explainability moments, and verification handoffs."
Vol 05 — Functional Requirements,5,Functional Requirements,Product,Draft v1.0,FR-5,8556,docs/prd/vol-05-functional-requirements.md,"The exhaustive feature spec and the fixed verdict vocabulary, with persona/journey traceability."
Vol 06 — UX Specification,6,UX Specification,Design,Draft v1.0,UX-6,7773,docs/prd/vol-06-ux-specification.md,"Every page, component, and interaction across desktop, tablet, and mobile, plus reusable component contracts."
Vol 07 — Design System,7,Design System,Design,Draft v1.0,DS-7,7515,docs/prd/vol-07-design-system.md,"Tokens, color (light and dark), typography, motion, and the WCAG 2.2 AA accessibility contract."
Vol 08 — AI Intelligence Engine,8,AI Intelligence Engine,AI,Draft v1.0,AI-8,7971,docs/prd/vol-08-ai-intelligence-engine.md,"OCR, entity extraction, threat classification, campaign detection, explainability, moderation, and calibration."
Vol 09 — Knowledge Graph,9,Knowledge Graph,AI,Draft v1.0,KG-9,5459,docs/prd/vol-09-knowledge-graph.md,"Postgres nodes and edges, confidence model, damped propagation, and campaign lifecycle logic."
Vol 10 — Database,10,Database,Backend,Draft v1.0,DB-10,7917,docs/prd/vol-10-database.md,"ER model, full table DDL, indexes, RLS policies, retention schedules, and migration strategy."
Vol 11 — API Specification,11,API Specification,Backend,Draft v1.0,API-11,5213,docs/prd/vol-11-api-specification.md,"REST /v1 endpoint catalog, auth and scopes, rate limits, error model, pagination, and versioning."
Vol 12 — Frontend Architecture,12,Frontend Architecture,Frontend,Draft v1.0,FE-12,5797,docs/prd/vol-12-frontend-architecture.md,"Next.js routes, server/client component strategy, state, performance budget, and SEO/AI discoverability."
Vol 13 — Backend Architecture,13,Backend Architecture,Backend,Draft v1.0,BE-13,3552,docs/prd/vol-13-backend-architecture.md,"Supabase topology, queues and background jobs, storage, notifications, and caching."
Vol 14 — Security,14,Security,Security,Draft v1.0,SEC-14,8195,docs/prd/vol-14-security.md,"Threat model, encryption, privacy, abuse prevention, audit logging, AI security, and responsible disclosure."
Vol 15 — Testing,15,Testing,QA,Draft v1.0,QA-15,6724,docs/prd/vol-15-testing.md,"Unit through E2E, accessibility and performance gates, security testing, AI evaluation, and the coverage matrix."
Vol 16 — Operations,16,Operations,Operations,Draft v1.0,OPS-16,3427,docs/prd/vol-16-operations.md,"Moderation operations, community, support, volunteer workflows, and transparency reporting."
Vol 17 — Deployment,17,Deployment,DevOps,Draft v1.0,DEP-17,2644,docs/prd/vol-17-deployment.md,"Environments, CI/CD, observability, logging, backups, and disaster recovery."
Vol 18 — Analytics,18,Analytics,Analytics,Draft v1.0,AN-18,2632,docs/prd/vol-18-analytics.md,"North Star (Protective Actions Delivered), KPI tree, funnels, dashboards, and ethical experimentation."
Vol 19 — Future Roadmap,19,Future Roadmap,Product,Draft v1.0,RM-19,3102,docs/prd/vol-19-future-roadmap.md,"Browser extension, mobile, enterprise API, OCR, voice, deepfake detection, and internationalization."
